"seq_id"	"name"	"sequence length"	"signal peptide"	"transmembrane domain"	"aa in tr domain"	"first 60 aa"	"prob N-in"	"mTMR"	"IDRs"	"CAMP_PHOSPHO_SITE"	"PKC_PHOSPHO_SITE"	"CK2_PHOSPHO_SITE"	"MYRISTYL"	"AMIDATION"	"ASN_GLYCOSYLATION"	"ASPARAGINE_RICH "	"LEUCINE_ZIPPER"	"MICROBODIES_CTER"	"RGD"	"TYR_PHOSPHO_SITE_1"	"TYR_PHOSPHO_SITE_2"	"CLUMP0"	"CLUMP3"	"CLUMP5"	"CLUMP6"	"CLUMP7"	"CLUMP8"	"bin1"	"bin2"	"bin3"	"bin4"
"tr|A0A0M1MZM6|A0A0M1MZM6_9MOLU"	"to_be_predicted"	543	0	1	21.93688	21.86449	0.9575	1	0	1	7	2	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	3	1	2
"tr|A0A0M1MZF6|A0A0M1MZF6_9MOLU"	"to_be_predicted"	228	0	0	0.40459	0.02603	0.076	0	0	1	6	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	3	2	2
"tr|A0A0M1MZF9|A0A0M1MZF9_9MOLU"	"to_be_predicted"	340	0	0	2.27793	0	0.11535	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0
"tr|A0A0M1MZJ1|A0A0M1MZJ1_9MOLU"	"to_be_predicted"	424	0	0	0.01296	0	0.00362	0	0	0	5	4	0	0	0	0	0	1	0	0	0	0	0	0	2	3	1	4	1	0	1
"tr|A0A0M1MZQ5|A0A0M1MZQ5_9MOLU"	"to_be_predicted"	416	0	0	0.03746	0	0.01594	0	0	1	5	1	0	0	1	0	0	1	0	0	0	0	0	1	0	3	0	1	0	2	1
"tr|A0A0M1MZS1|A0A0M1MZS1_9MOLU"	"to_be_predicted"	665	0	0	0.01548	7E-05	0.00209	0	0	2	12	3	0	1	1	0	0	0	0	0	0	0	0	1	2	6	0	1	3	2	3
"tr|A0A0M1MZT0|A0A0M1MZT0_9MOLU"	"to_be_predicted"	141	0	1	20.81287	0	0.94656	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
"tr|A0A0M1MZT4|A0A0M1MZT4_9MOLU"	"to_be_predicted"	697	0	2	46.30133	21.99306	0.28878	1	66	1	15	8	0	0	2	0	0	1	0	0	0	0	0	1	5	6	3	2	1	4	9
"tr|A0A0M1MZU9|A0A0M1MZU9_9MOLU"	"to_be_predicted"	255	0	0	0.00531	0.0011	0.15215	0	0	1	5	2	0	0	3	0	0	0	0	0	0	2	0	1	2	2	0	1	1	2	3
"tr|A0A0M1MZW8|A0A0M1MZW8_9MOLU"	"to_be_predicted"	634	0	0	1.34843	0	0.06491	0	0	0	11	5	0	0	2	0	0	1	0	0	0	0	1	2	1	5	0	4	3	2	0
"tr|A0A0M1MZX2|A0A0M1MZX2_9MOLU"	"to_be_predicted"	330	0	0	3.43249	8E-05	0.06873	0	0	0	3	4	0	0	1	0	0	1	0	0	0	0	1	0	4	1	0	2	2	2	0
"tr|A0A0M1MZY7|A0A0M1MZY7_9MOLU"	"to_be_predicted"	260	0	0	0.01259	0.00647	0.00677	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	3	1	0
"tr|A0A0M1N035|A0A0M1N035_9MOLU"	"to_be_predicted"	381	0	0	0.01644	0	0.01682	0	0	1	5	1	0	0	4	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1
"tr|A0A0M1N041|A0A0M1N041_9MOLU"	"to_be_predicted"	229	0	6	129.37389	22.779	0.99122	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1
"tr|A0A0M1N051|A0A0M1N051_9MOLU"	"to_be_predicted"	796	0	0	0.07364	3E-05	0.00291	0	0	1	12	6	0	0	0	0	0	1	0	0	0	1	1	0	4	3	0	3	2	1	4
"tr|A0A0M1N062|A0A0M1N062_9MOLU"	"to_be_predicted"	334	0	0	0.0812	0.00884	0.09041	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
"tr|A0A0M1N080|A0A0M1N080_9MOLU"	"to_be_predicted"	395	0	0	0.4474	0	0.01992	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"tr|A0A0M1N082|A0A0M1N082_9MOLU"	"to_be_predicted"	427	0	0	0.806039999999999	0	0.01602	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	2	0	1	0	1	0	2	0
"tr|A0A0M1N095|A0A0M1N095_9MOLU"	"to_be_predicted"	653	0	0	0.03381	0.02049	0.00227	0	0	0	7	2	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	2
"tr|A0A0M1N0A0|A0A0M1N0A0_9MOLU"	"to_be_predicted"	415	0	0	0.0274	0.01747	0.00367	0	0	0	5	3	0	0	2	0	0	0	0	0	0	1	0	0	2	4	0	1	2	1	3
"tr|A0A0M1N0A5|A0A0M1N0A5_9MOLU"	"to_be_predicted"	618	0	2	42.4411	19.84073	0.05224	1	0	0	8	3	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	2	1	1	3
"tr|A0A0M1N0B5|A0A0M1N0B5_9MOLU"	"to_be_predicted"	271	0	0	1.91254	0.00043	0.21366	0	0	0	4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	1	1	2
"tr|A0A0M1N0E5|A0A0M1N0E5_9MOLU"	"to_be_predicted"	220	0	0	0.00022	0.00022	0.02766	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0
"tr|A0A0M1N0F4|A0A0M1N0F4_9MOLU"	"to_be_predicted"	1440	0	0	0.00787	0.00059	0.00024	0	0	3	23	11	0	0	4	0	0	2	0	0	0	1	0	1	7	8	1	5	5	10	3
"tr|A0A0M1N0G5|A0A0M1N0G5_9MOLU"	"to_be_predicted"	442	0	0	22.1113499999999	0.96467	0.37606	0	0	1	6	3	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	3	1	1	0
"tr|A0A0M1N0G6|A0A0M1N0G6_9MOLU"	"to_be_predicted"	802	0	0	0.0523	0.0015	0.0024	0	0	2	20	8	0	0	1	0	0	0	0	0	0	0	0	3	2	6	1	2	1	6	3
"tr|A0A0M1N0H3|A0A0M1N0H3_9MOLU"	"to_be_predicted"	563	0	0	0.15868	0.00071	0.00371	0	0	0	8	1	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1
"tr|A0A0M1N0H7|A0A0M1N0H7_9MOLU"	"to_be_predicted"	641	0	0	0.13055	0	0.00256	0	0	0	10	3	0	0	2	0	0	0	0	0	0	1	1	0	3	1	0	1	1	2	2
"tr|A0A0M1N0I0|A0A0M1N0I0_9MOLU"	"to_be_predicted"	380	0	0	0.34347	0.24318	0.02674	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
"tr|A0A0M1N0I1|A0A0M1N0I1_9MOLU"	"to_be_predicted"	532	0.578	1	19.9375699999999	19.85022	0.99519	1	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	2
"tr|A0A0M1N0I4|A0A0M1N0I4_9MOLU"	"to_be_predicted"	319	0	0	0.02378	0.01818	0.02147	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
"tr|A0A0M1N0J2|A0A0M1N0J2_9MOLU"	"to_be_predicted"	865	0	0	0.0367	0.00022	0.00183	0	0	2	7	2	0	1	2	0	0	1	0	0	0	1	1	0	1	3	0	2	1	0	3
"tr|A0A0M1N0K3|A0A0M1N0K3_9MOLU"	"to_be_predicted"	807	0	0	0.15733	0.01097	0.00728	0	0	0	12	6	0	0	1	0	0	0	0	0	0	0	0	0	4	4	1	4	3	3	1
"tr|A0A0M1N0K7|A0A0M1N0K7_9MOLU"	"to_be_predicted"	238	0	0	0.23713	0.09359	0.03223	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1
"tr|A0A0M1N0K9|A0A0M1N0K9_9MOLU"	"to_be_predicted"	429	0	0	0.18357	0.00091	0.01473	0	0	1	3	4	0	0	2	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	2
"tr|A0A0M1N0L0|A0A0M1N0L0_9MOLU"	"to_be_predicted"	483	0	0	0.00233	0.00023	0.00198	0	0	0	6	1	0	0	3	0	0	2	0	0	0	1	0	0	1	3	0	1	1	2	1
"tr|A0A0M1N0M8|A0A0M1N0M8_9MOLU"	"to_be_predicted"	531	0	2	43.5557500000001	22.7634	0.07555	1	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	1	2
"tr|A0A0M1N0Q1|A0A0M1N0Q1_9MOLU"	"to_be_predicted"	293	0	0	0.10874	0.00347	0.03234	0	0	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	2
"tr|A0A0M1N0Q6|A0A0M1N0Q6_9MOLU"	"to_be_predicted"	496	0	0	0.37508	5E-05	0.00214	0	0	0	2	2	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	2
"tr|A0A0M1N0R1|A0A0M1N0R1_9MOLU"	"to_be_predicted"	553	0	0	0.00328	0.00019	0.00228	0	0	0	6	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	2	1	0	0
"tr|A0A0M1N0S3|A0A0M1N0S3_9MOLU"	"to_be_predicted"	631	0	0	0.00688	0.00414	0.00084	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	1	3	5	1	0	3	5	3
