"seq_id"	"name"	"sequence length"	"signal peptide"	"transmembrane domain"	"aa in tr domain"	"first 60 aa"	"prob N-in"	"mTMR"	"IDRs"	"CAMP_PHOSPHO_SITE"	"PKC_PHOSPHO_SITE"	"CK2_PHOSPHO_SITE"	"MYRISTYL"	"AMIDATION"	"ASN_GLYCOSYLATION"	"ASPARAGINE_RICH "	"LEUCINE_ZIPPER"	"MICROBODIES_CTER"	"RGD"	"TYR_PHOSPHO_SITE_1"	"TYR_PHOSPHO_SITE_2"	"CLUMP0"	"CLUMP3"	"CLUMP5"	"CLUMP6"	"CLUMP7"	"CLUMP8"	"bin1"	"bin2"	"bin3"	"bin4"
"tr|B1VA49|B1VA49_PHYAS"	"to_be_predicted"	647	0.579	2	41.5702100000001	19.15315	0.01592	1	38	0	13	4	0	0	1	0	0	1	0	0	0	0	0	0	1	4	1	2	0	3	4
"sp|B1VAI9|PYRG_PHYAS"	"to_be_predicted"	547	0.617	0	13.53232	13.28807	0.58741	1	0	0	5	3	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	1	2	1
"sp|B1V8R6|ENO_PHYAS"	"to_be_predicted"	430	0	0	0.05512	0	0.00992	0	0	1	7	4	0	0	2	0	0	0	0	0	0	0	0	0	2	6	1	2	1	5	2
"tr|B1V8R7|B1V8R7_PHYAS"	"to_be_predicted"	516	0	0	0.00254	0.00074	0.00067	0	0	0	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	1	1	2	1
"sp|B1V8W6|SYT_PHYAS"	"to_be_predicted"	641	0	0	0.594929999999999	0	0.00121	0	0	1	6	4	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	2	0	1	1
"tr|B1V8W8|B1V8W8_PHYAS"	"to_be_predicted"	453	0	0	0.40305	0.38776	0.0181	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
"tr|B1V8Y7|B1V8Y7_PHYAS"	"to_be_predicted"	288	0	0	10.45445	0.02585	0.41566	0	0	0	6	1	0	0	1	0	0	1	0	0	0	0	1	0	1	2	0	2	0	2	0
"tr|B1V8Z3|B1V8Z3_PHYAS"	"to_be_predicted"	247	0.599	3	60.0963400000001	39.02001	0.02008	1	0	1	6	2	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	2	3	0	0
"sp|B1V8Z6|TSAD_PHYAS"	"to_be_predicted"	328	0	0	1.30746	5E-05	0.05443	0	0	0	4	2	0	0	1	0	0	1	0	0	0	0	1	0	2	2	0	1	2	1	1
"sp|B1V924|ACKA_PHYAS"	"to_be_predicted"	396	0	0	1.14352	0.0002	0.04062	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|B1V926|B1V926_PHYAS"	"to_be_predicted"	787	0	0	0.08048	0.00328	0.00339	0	0	2	11	2	0	0	1	0	0	0	0	0	0	1	0	0	1	4	0	2	0	3	1
"sp|B1V932|AMPA_PHYAS"	"to_be_predicted"	493	0	0	10.11993	0.00046	0.07357	0	0	0	5	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0
"tr|B1V945|B1V945_PHYAS"	"to_be_predicted"	856	0	0	2.04872	0.00642	0.00371	0	0	0	10	3	0	0	3	0	0	2	0	0	0	2	0	0	2	5	0	2	1	5	2
"tr|B1V969|B1V969_PHYAS"	"to_be_predicted"	427	0	0	2.68221	0	0.0175	0	0	0	4	0	0	0	4	0	0	0	0	0	0	1	0	2	0	2	0	1	2	2	0
"tr|B1V973|B1V973_PHYAS"	"to_be_predicted"	245	0	0	0.37756	0.00018	0.03221	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
"sp|B1V975|GLYA_PHYAS"	"to_be_predicted"	413	0	0	0.01442	0	0.00509	0	0	0	10	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	1	1	0
"sp|B1V9C5|LEPA_PHYAS"	"to_be_predicted"	605	0	0	0.02753	0.00379	0.00627	0	0	0	9	0	0	1	2	0	0	2	0	0	0	0	1	0	0	2	0	1	0	0	2
"sp|B1V9H9|PLSY_PHYAS"	"to_be_predicted"	225	0	6	127.24629	28.04117	0.90559	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"sp|B1V9I5|RSMA_PHYAS"	"to_be_predicted"	284	0	0	4.78286999999999	0.00091	0.33414	0	0	1	4	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	2
"tr|B1V9Q9|B1V9Q9_PHYAS"	"to_be_predicted"	896	0	0	0.21063	0.00094	0.0098	0	0	1	8	3	0	0	2	0	0	1	0	0	0	1	0	1	2	1	0	1	2	2	2
"sp|B1V9R1|RSGA_PHYAS"	"to_be_predicted"	310	0	0	0.65899	0.19791	0.05892	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1
"tr|B1VA13|B1VA13_PHYAS"	"to_be_predicted"	304	0	0	2.62876	0.197	0.01763	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|B1VA15|B1VA15_PHYAS"	"to_be_predicted"	663	0	0	0.03118	0.02504	0.00261	0	0	1	12	3	0	0	2	0	0	1	1	0	0	1	0	0	2	5	0	0	2	1	5
"tr|B1VA47|B1VA47_PHYAS"	"to_be_predicted"	561	0	0	0.03315	0.00191	0.01327	0	0	0	8	3	0	0	2	0	0	0	0	0	0	0	1	0	2	2	0	1	1	3	0
"sp|B1VA59|SYE_PHYAS"	"to_be_predicted"	448	0	0	0.374850000000001	0.28955	0.03792	0	0	1	4	2	0	0	2	0	0	0	0	0	0	0	0	0	2	3	0	1	2	0	2
"tr|B1VA70|B1VA70_PHYAS"	"to_be_predicted"	863	0	0	0.10283	0.0002	0.0002	0	0	0	15	1	0	0	3	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	1
"sp|B1VA75|TPIS_PHYAS"	"to_be_predicted"	268	0	0	0.01371	0.00029	0.15382	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0
"tr|B1VA78|B1VA78_PHYAS"	"to_be_predicted"	238	0	0	0.2257	0.1771	0.05393	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
"tr|B1VA92|B1VA92_PHYAS"	"to_be_predicted"	809	0	0	0.328760000000001	0	0.01503	0	0	1	10	3	0	0	2	0	0	0	0	0	0	1	0	0	1	2	1	2	2	1	0
"sp|B1VA93|SYFA_PHYAS"	"to_be_predicted"	343	0	0	0.0102	0	0.02323	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	3	0	0	1
"sp|B1VA97|SYK_PHYAS"	"to_be_predicted"	497	0	0	0.05032	0	0.02214	0	0	3	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	3	1
"sp|B1VAA7|SYY_PHYAS"	"to_be_predicted"	415	0	0	0.05947	0.00621	0.00891	0	0	3	3	4	0	1	3	0	0	0	0	0	0	3	0	0	1	5	0	0	3	0	6
"sp|B1VAB2|SECA_PHYAS"	"to_be_predicted"	832	0.619	0	0.28362	0	0.01365	0	32	0	16	1	0	0	3	0	0	1	0	0	0	0	0	1	2	5	0	3	1	3	4
"tr|B1VAB5|B1VAB5_PHYAS"	"to_be_predicted"	347	0	0	0.01128	0	0.06136	0	0	1	6	3	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	2	1	2	1
"tr|B1VAC1|B1VAC1_PHYAS"	"to_be_predicted"	330	0	0	0.00695	0.00396	0.01148	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2
"tr|B1VAC6|B1VAC6_PHYAS"	"to_be_predicted"	247	0	0	0.01439	0.00344	0.05214	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	2	0	0
"sp|B1VAC7|KAD_PHYAS"	"to_be_predicted"	217	0	0	0.00883	0.00421	0.0027	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2
"sp|B1VAF2|OBG_PHYAS"	"to_be_predicted"	421	0	0	0.28456	0.00747	0.00529	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
