"seq_id"	"name"	"sequence length"	"signal peptide"	"transmembrane domain"	"aa in tr domain"	"first 60 aa"	"prob N-in"	"mTMR"	"IDRs"	"CAMP_PHOSPHO_SITE"	"PKC_PHOSPHO_SITE"	"CK2_PHOSPHO_SITE"	"MYRISTYL"	"AMIDATION"	"ASN_GLYCOSYLATION"	"ASPARAGINE_RICH "	"LEUCINE_ZIPPER"	"MICROBODIES_CTER"	"RGD"	"TYR_PHOSPHO_SITE_1"	"TYR_PHOSPHO_SITE_2"	"CLUMP0"	"CLUMP3"	"CLUMP5"	"CLUMP6"	"CLUMP7"	"CLUMP8"	"bin1"	"bin2"	"bin3"	"bin4"
"tr|A0A139JQP9|A0A139JQP9_9MOLU"	"to_be_predicted"	551	0	1	22.7168499999999	22.59132	0.99062	1	0	3	7	4	0	0	1	0	0	0	0	0	0	0	0	0	3	4	0	1	2	3	2
"tr|A0A139JQV3|A0A139JQV3_9MOLU"	"to_be_predicted"	684	0	1	32.7254900000002	21.31399	0.73415	1	26	4	18	5	0	0	2	0	0	1	0	0	0	0	0	0	2	3	4	4	1	3	3
"tr|A0A139JPY8|A0A139JPY8_9MOLU"	"to_be_predicted"	201	0	0	0.14955	0	0.06778	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	1	1	0
"tr|A0A139JQ61|A0A139JQ61_9MOLU"	"to_be_predicted"	230	0	6	129.90158	23.11093	0.99881	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|A0A139JQ83|A0A139JQ83_9MOLU"	"to_be_predicted"	418	0	0	0.08876	0.02422	0.00419	0	0	0	4	1	0	0	1	0	0	1	0	0	0	2	0	0	0	2	0	0	1	2	1
"tr|A0A139JQ90|A0A139JQ90_9MOLU"	"to_be_predicted"	242	0	0	4.73918	0.01936	0.19153	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1
"tr|A0A139JQA3|A0A139JQA3_9MOLU"	"to_be_predicted"	247	0	0	5.89662	0.01702	0.24311	0	0	0	3	3	0	0	2	0	0	0	0	0	0	0	0	1	0	2	2	1	2	0	2
"tr|A0A139JQD4|A0A139JQD4_9MOLU"	"to_be_predicted"	382	0	0	0.78192	0.72358	0.05598	0	0	1	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3	0
"tr|A0A139JQF5|A0A139JQF5_9MOLU"	"to_be_predicted"	582	0	0	1.07181	0.87782	0.0662	0	0	1	8	3	0	1	0	0	0	0	0	0	0	0	0	1	1	6	1	4	2	3	1
"tr|A0A139JQG0|A0A139JQG0_9MOLU"	"to_be_predicted"	846	0	0	0.134850000000001	0	0.00641	0	0	1	12	4	0	0	5	0	0	0	0	0	0	2	1	0	2	5	1	3	2	5	3
"tr|A0A139JQG7|A0A139JQG7_9MOLU"	"to_be_predicted"	650	0	0	0.02384	0.00018	0.00101	0	0	0	10	2	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	2
"tr|A0A139JQJ4|A0A139JQJ4_9MOLU"	"to_be_predicted"	288	0	0	14.9991	0.06697	0.46225	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0
"tr|A0A139JQK4|A0A139JQK4_9MOLU"	"to_be_predicted"	372	0	0	2.06278	0	0.12544	0	0	1	8	2	0	1	3	0	0	0	0	0	0	2	0	1	0	4	1	2	3	1	2
