"seq_id"	"name"	"sequence length"	"signal peptide"	"transmembrane domain"	"aa in tr domain"	"first 60 aa"	"prob N-in"	"mTMR"	"IDRs"	"CAMP_PHOSPHO_SITE"	"PKC_PHOSPHO_SITE"	"CK2_PHOSPHO_SITE"	"MYRISTYL"	"AMIDATION"	"ASN_GLYCOSYLATION"	"ASPARAGINE_RICH "	"LEUCINE_ZIPPER"	"MICROBODIES_CTER"	"RGD"	"TYR_PHOSPHO_SITE_1"	"TYR_PHOSPHO_SITE_2"	"CLUMP0"	"CLUMP3"	"CLUMP5"	"CLUMP6"	"CLUMP7"	"CLUMP8"	"bin1"	"bin2"	"bin3"	"bin4"
"tr|A0A2S8NV46|A0A2S8NV46_9MOLU"	"to_be_predicted"	542	0.57	1	22.68002	22.63762	0.99862	1	0	0	5	2	0	0	1	0	0	0	0	0	0	0	0	1	2	2	0	0	4	0	1
"tr|A0A2S8NTU9|A0A2S8NTU9_9MOLU"	"to_be_predicted"	413	0	0	0.23991	0.00185	0.02516	0	0	0	10	2	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	1	0	4	0
"tr|A0A2S8NU67|A0A2S8NU67_9MOLU"	"to_be_predicted"	446	0	0	0.792359999999999	0.42416	0.05246	0	0	1	8	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	2	2	0	1
"tr|A0A2S8NU81|A0A2S8NU81_9MOLU"	"to_be_predicted"	418	0	0	0.433940000000001	0.3918	0.02123	0	0	0	7	4	0	0	2	0	0	0	0	0	0	1	0	0	0	5	2	1	1	3	3
"tr|A0A2S8NUH5|A0A2S8NUH5_9MOLU"	"to_be_predicted"	265	0	0	0.00862	0.00459	0.12678	0	0	0	4	1	0	0	1	0	0	2	0	0	0	1	1	0	1	1	0	1	1	1	1
"tr|A0A2S8NUV7|A0A2S8NUV7_9MOLU"	"to_be_predicted"	428	0	0	0.0536	0	0.00356	0	0	0	4	6	0	0	0	0	0	1	0	0	0	1	0	3	3	2	0	4	2	1	3
"tr|A0A2S8NUV8|A0A2S8NUV8_9MOLU"	"to_be_predicted"	778	0	0	15.74846	0.00993	0.00778	0	0	2	13	2	0	0	2	0	0	1	0	0	0	0	0	0	1	6	0	2	2	1	2
"tr|A0A2S8NUY1|A0A2S8NUY1_9MOLU"	"to_be_predicted"	194	0	0	0.03444	0.00024	0.29017	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	1
"tr|A0A2S8NUY3|A0A2S8NUY3_9MOLU"	"to_be_predicted"	285	0	1	16.56851	0.0429	0.66473	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
"tr|A0A2S8NUZ3|A0A2S8NUZ3_9MOLU"	"to_be_predicted"	213	0	0	0.00196	0.00154	0.01478	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
"tr|A0A2S8NV03|A0A2S8NV03_9MOLU"	"to_be_predicted"	368	0	0	14.50282	0	0.61348	0	0	0	6	4	0	0	1	0	0	0	1	0	0	0	0	1	0	3	1	2	2	0	2
"tr|A0A2S8NV06|A0A2S8NV06_9MOLU"	"to_be_predicted"	635	0	0	0.376140000000001	0.00099	0.01889	0	0	0	9	5	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0	3	1	2	2
"tr|A0A2S8NV24|A0A2S8NV24_9MOLU"	"to_be_predicted"	862	0	0	0.16995	0.00043	0.00126	0	0	0	8	3	0	0	2	0	0	0	0	0	0	1	0	2	0	2	1	2	1	0	3
"tr|A0A2S8NV25|A0A2S8NV25_9MOLU"	"to_be_predicted"	516	0	0	0.00668	0.00016	0.00049	0	0	1	6	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	2	3	0
"tr|A0A2S8NV31|A0A2S8NV31_9MOLU"	"to_be_predicted"	296	0	0	1.38898	0.00143	0.09135	0	0	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	1
"tr|A0A2S8NV42|A0A2S8NV42_9MOLU"	"to_be_predicted"	225	0	0	0.91776	0.07305	0.04579	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	2	1	2
