"seq_id"	"name"	"sequence length"	"signal peptide"	"transmembrane domain"	"aa in tr domain"	"first 60 aa"	"prob N-in"	"mTMR"	"IDRs"	"CAMP_PHOSPHO_SITE"	"PKC_PHOSPHO_SITE"	"CK2_PHOSPHO_SITE"	"MYRISTYL"	"AMIDATION"	"ASN_GLYCOSYLATION"	"ASPARAGINE_RICH "	"LEUCINE_ZIPPER"	"MICROBODIES_CTER"	"RGD"	"TYR_PHOSPHO_SITE_1"	"TYR_PHOSPHO_SITE_2"	"CLUMP0"	"CLUMP3"	"CLUMP5"	"CLUMP6"	"CLUMP7"	"CLUMP8"	"bin1"	"bin2"	"bin3"	"bin4"
"lcl|NZ_CP025121.1_prot_WP_121463665.1_1"	"to_be_predicted"	163	0	0	0.01664	0.01438	0.11741	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
"lcl|NZ_CP025121.1_prot_WP_121463666.1_2"	"to_be_predicted"	273	0	0	0.00548	0.0052	0.03571	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0
"lcl|NZ_CP025121.1_prot_WP_121463667.1_3"	"to_be_predicted"	118	0	0	0.00716	0.00716	0.48436	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	1	0
"lcl|NZ_CP025121.1_prot_WP_121463668.1_4"	"to_be_predicted"	316	0	0	0.03842	0.03547	0.04066	0	0	0	7	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	0
"lcl|NZ_CP025121.1_prot_WP_121463669.1_5"	"to_be_predicted"	133	0.628	0	0.73333	0.73332	0.77123	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	3	0	2
"lcl|NZ_CP025121.1_prot_WP_121463670.1_6"	"to_be_predicted"	120	0	0	0.03069	0.03069	0.83298	0	31	1	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	2	0	1
"lcl|NZ_CP025121.1_prot_WP_121463671.1_7"	"to_be_predicted"	38	0	0	0	0	0.93564	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"lcl|NZ_CP025121.1_prot_WP_121463672.1_8"	"to_be_predicted"	81	0	0	0.01547	0.01547	0.65772	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
"lcl|NZ_CP025121.1_prot_WP_121463673.1_9"	"to_be_predicted"	247	0	0	0.02335	0.0029	0.03046	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0
"lcl|NZ_CP025121.1_prot_WP_121463674.1_10"	"to_be_predicted"	415	0	10	206.53185	20.95148	0.96256	1	0	0	5	1	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1
"lcl|NZ_CP025121.1_prot_WP_121463675.1_11"	"to_be_predicted"	146	0	0	0	0	0.04448	0	36	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
"lcl|NZ_CP025121.1_prot_WP_121463676.1_12"	"to_be_predicted"	65	0	0	0.0004	0.0004	0.55928	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lcl|NZ_CP025121.1_prot_WP_201736613.1_13"	"to_be_predicted"	161	0	0	0.02597	0.00053	0.15291	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lcl|NZ_CP025121.1_prot_WP_121463677.1_14"	"to_be_predicted"	117	0	0	0.00016	0.00016	0.21791	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0
