"seq_id"	"name"	"sequence length"	"signal peptide"	"transmembrane domain"	"aa in tr domain"	"first 60 aa"	"prob N-in"	"mTMR"	"IDRs"	"CAMP_PHOSPHO_SITE"	"PKC_PHOSPHO_SITE"	"CK2_PHOSPHO_SITE"	"MYRISTYL"	"AMIDATION"	"ASN_GLYCOSYLATION"	"ASPARAGINE_RICH "	"LEUCINE_ZIPPER"	"MICROBODIES_CTER"	"RGD"	"TYR_PHOSPHO_SITE_1"	"TYR_PHOSPHO_SITE_2"	"CLUMP0"	"CLUMP3"	"CLUMP5"	"CLUMP6"	"CLUMP7"	"CLUMP8"	"bin1"	"bin2"	"bin3"	"bin4"
"sp|Q2NIN5|FTSH_AYWBP"	"to_be_predicted"	676	0	2	41.7798600000001	19.9244	0.00618	1	67	1	11	4	0	0	3	0	0	0	0	0	0	0	0	2	2	4	0	1	1	4	3
"sp|Q2NK04|PYRG_AYWBP"	"to_be_predicted"	536	0	0	13.23454	12.85323	0.57185	1	0	0	4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	1
"sp|Q2NIG1|MNME_AYWBP"	"to_be_predicted"	460	0	0	0.05472	0.04969	0.00344	0	0	0	5	2	0	0	1	0	0	0	0	0	0	1	0	0	1	4	0	2	1	3	0
"sp|Q2NIG3|SYT_AYWBP"	"to_be_predicted"	641	0	0	0.335920000000001	0.0002	0.00057	0	0	0	8	3	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	1	0	4	0
"sp|Q2NIH4|RSMH_AYWBP"	"to_be_predicted"	303	0	0	0.01247	0.00098	0.0611	0	0	0	6	2	0	0	1	0	0	0	0	0	0	1	0	0	1	2	1	0	1	2	2
"sp|Q2NIH8|RSMA_AYWBP"	"to_be_predicted"	268	0	0	0.51016	0.00096	0.28393	0	0	1	6	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	2	0	0	1
"sp|Q2NIJ4|SYS_AYWBP"	"to_be_predicted"	424	0	0	0.04612	0	0.00342	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
"sp|Q2NIK0|OBG_AYWBP"	"to_be_predicted"	419	0	0	0.09961	0.09185	0.00697	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
"sp|Q2NIM1|KITH_AYWBP"	"to_be_predicted"	209	0	0	0.50991	0.03107	0.11862	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	0
"sp|Q2NIM6|CH60_AYWBP"	"to_be_predicted"	536	0	0	0.49539	0.00119	0.00567	0	0	0	6	0	0	0	3	0	0	0	0	0	0	2	0	1	0	2	0	2	1	3	0
"sp|Q2NIM9|MNMA_AYWBP"	"to_be_predicted"	378	0	0	0.17897	0.14176	0.0134	0	0	1	6	2	0	1	2	0	0	0	0	0	0	0	0	0	1	6	0	1	0	3	3
"sp|Q2NIN3|SYD_AYWBP"	"to_be_predicted"	576	0	0	1.42742	1.40938	0.07974	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	1	4	2	0
"sp|Q2NIP6|SYE_AYWBP"	"to_be_predicted"	449	0	0	0.52188	0.24234	0.04491	0	0	1	5	1	0	0	2	0	0	0	0	0	0	0	0	2	0	3	0	2	1	1	1
"sp|Q2NIP7|SYC_AYWBP"	"to_be_predicted"	438	0	0	0.84552	0.01908	0.0162	0	0	1	5	2	0	0	2	0	0	1	0	0	0	0	1	0	2	4	0	3	0	1	3
"tr|Q2NIP9|Q2NIP9_AYWBP"	"to_be_predicted"	434	0	0	0.05436	0.00037	0.0298	0	0	0	6	2	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	2
"tr|Q2NIR1|Q2NIR1_AYWBP"	"to_be_predicted"	813	0	0	0.0459	0.00223	0.00109	0	0	1	15	0	0	0	2	0	0	2	0	0	0	2	0	0	0	7	0	1	4	3	2
"sp|Q2NIR6|ACKA_AYWBP"	"to_be_predicted"	410	0	0	0.47277	0.00145	0.01849	0	0	0	8	4	0	0	2	0	0	0	0	0	0	0	0	1	1	2	1	1	0	3	1
"sp|Q2NIS4|PYRH_AYWBP"	"to_be_predicted"	241	0	0	0.29785	0.02304	0.08343	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q2NIS7|TPIS_AYWBP"	"to_be_predicted"	274	0	0	0.36426	0.00191	0.18932	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0
"sp|Q2NIT5|ECFA_AYWBP"	"to_be_predicted"	271	0	0	0.04011	0.03245	0.03847	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
"sp|Q2NIT8|GLYA_AYWBP"	"to_be_predicted"	429	0	0	0.59605	0.00979	0.07498	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0
"sp|Q2NIT9|RSGA_AYWBP"	"to_be_predicted"	306	0	0	0.05557	0.02203	0.01036	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	1	0	1
"tr|Q2NIU1|Q2NIU1_AYWBP"	"to_be_predicted"	903	0	0	0.36137	0.00065	0.0144	0	0	0	9	4	0	0	3	0	0	1	0	0	0	3	0	1	1	3	1	2	2	3	3
"sp|Q2NIX5|KAD_AYWBP"	"to_be_predicted"	217	0	0	0.02964	0.02749	0.00357	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1
"tr|Q2NIX6|Q2NIX6_AYWBP"	"to_be_predicted"	247	0	0	0.35618	0.32521	0.06019	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	1	0
"sp|Q2NIY1|RPOA_AYWBP"	"to_be_predicted"	330	0	0	0.01373	0.00581	0.01239	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	2
"sp|Q2NIY3|TRUA_AYWBP"	"to_be_predicted"	243	0	0	0.412389999999999	0.00156	0.02637	0	0	1	6	2	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	1	1	1	1
"sp|Q2NIZ6|GPDA_AYWBP"	"to_be_predicted"	338	0.661	1	12.741	12.47074	0.58155	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q2NJ06|PNP_AYWBP"	"to_be_predicted"	715	0	0	0.17194	0.00924	0.00385	0	0	0	9	2	0	0	1	0	0	1	0	0	0	1	0	0	1	3	0	2	1	1	1
"sp|Q2NJ16|RPOC_AYWBP"	"to_be_predicted"	1353	0	0	0.14432	0.00017	3E-05	0	0	0	21	9	0	0	0	0	0	1	0	0	0	0	0	1	4	5	1	6	3	2	3
"sp|Q2NJ30|MIAA_AYWBP"	"to_be_predicted"	291	0	0	0.23145	0.00146	0.05138	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
"tr|Q2NJ34|Q2NJ34_AYWBP"	"to_be_predicted"	647	0	0	0.00181	0.00016	0.00083	0	23	0	12	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	1	0	1
"sp|Q2NJ38|G6PI_AYWBP"	"to_be_predicted"	426	0	0	5.62432	0	0.07204	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
"sp|Q2NJ39|ENO_AYWBP"	"to_be_predicted"	430	0	0	0.06473	0	0.00714	0	0	1	5	4	0	0	2	0	0	0	0	0	0	0	0	0	2	3	1	0	1	4	2
"sp|Q2NJ40|GPMI_AYWBP"	"to_be_predicted"	512	0	0	0.00609	0.0003	0.00161	0	0	0	10	1	0	0	2	0	0	0	0	0	0	1	0	0	0	4	0	2	0	1	2
"sp|Q2NJ46|TYSY_AYWBP"	"to_be_predicted"	288	0	0	7.65166	0.00852	0.28378	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1	0
"sp|Q2NJ60|SYA_AYWBP"	"to_be_predicted"	864	0	0	0.01991	0.00018	0.00045	0	0	0	12	4	0	0	3	0	0	2	0	0	0	1	1	1	2	4	0	1	2	3	3
"sp|Q2NJ77|UVRB_AYWBP"	"to_be_predicted"	667	0	0	0.0419	0.02816	0.00185	0	0	0	12	2	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	1	2	0
"sp|Q2NJE2|TIG_AYWBP"	"to_be_predicted"	431	0	0	0.00092	0	0.07398	0	0	0	5	2	0	0	5	0	0	0	0	0	0	2	1	0	0	2	0	1	2	2	1
"sp|Q2NJE3|LON_AYWBP"	"to_be_predicted"	791	0	0	0.0313	0.00034	0.00154	0	0	0	9	3	0	0	1	0	0	0	0	0	0	1	0	0	3	4	1	4	2	3	1
"sp|Q2NJE6|LEPA_AYWBP"	"to_be_predicted"	605	0	0	0.02169	0.00165	0.00231	0	0	0	11	1	0	1	3	0	0	0	0	0	0	0	1	1	1	2	0	1	0	1	3
"sp|Q2NJF5|DNLJ_AYWBP"	"to_be_predicted"	671	0	0	0.35849	0	0.00839	0	0	2	12	4	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	3	1	0
"sp|Q2NJF6|PLSY_AYWBP"	"to_be_predicted"	231	0.657	6	130.71612	28.2216	0.01466	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q2NJG7|SYY_AYWBP"	"to_be_predicted"	413	0	0	0.1922	0.08869	0.01511	0	0	1	5	4	0	1	2	0	0	0	0	0	0	2	0	0	3	4	1	0	3	4	3
"sp|Q2NJH2|SECA_AYWBP"	"to_be_predicted"	835	0.578	0	0.22548	0	0.00986	0	31	1	25	3	0	0	3	0	0	2	0	0	0	0	0	1	2	9	1	3	3	6	4
"tr|Q2NJM2|Q2NJM2_AYWBP"	"to_be_predicted"	835	0	0	0.385890000000001	0.01388	0.01773	0	20	2	19	4	0	0	2	0	0	2	0	0	0	1	0	1	2	6	1	3	2	3	3
"sp|Q2NJM5|TSAD_AYWBP"	"to_be_predicted"	274	0	0	3.99349	3.59047	0.13182	0	0	0	5	2	0	0	1	0	0	1	0	0	0	0	1	0	2	2	0	1	1	2	1
"tr|Q2NJN3|Q2NJN3_AYWBP"	"to_be_predicted"	263	0	3	60.5868100000001	39.29065	0.04145	1	0	0	2	3	0	0	1	0	0	0	1	0	0	1	1	0	0	3	0	1	2	2	0
"sp|Q2NJY3|RNC_AYWBP"	"to_be_predicted"	237	0	0	0.29606	0.0097	0.08409	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	1
"sp|Q2NJY4|PLSX_AYWBP"	"to_be_predicted"	362	0	0	0.25856	0.00168	0.02397	0	20	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2
"sp|Q2NJZ2|SYFB_AYWBP"	"to_be_predicted"	828	0	0	0.06293	0.00593	0.0025	0	28	1	17	0	0	0	4	0	0	2	1	0	0	1	0	0	0	3	0	1	1	1	1
"sp|Q2NJZ3|SYFA_AYWBP"	"to_be_predicted"	343	0	0	0.00613	4E-05	0.0593	0	0	0	4	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	2
"sp|Q2NJZ8|SYK_AYWBP"	"to_be_predicted"	496	0	0	0.03477	0.00046	0.01025	0	0	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	2	1
"tr|Q2NK17|Q2NK17_AYWBP"	"to_be_predicted"	452	0	0	0.13755	0.12172	0.00881	0	0	0	6	2	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	1	2	1
"tr|Q2NK18|Q2NK18_AYWBP"	"to_be_predicted"	604	0	0	0.00947	0.0002	0.00311	0	0	1	12	1	0	0	2	0	0	0	0	0	0	1	0	1	0	4	0	0	3	2	1
"tr|Q2NK19|Q2NK19_AYWBP"	"to_be_predicted"	465	0	0	0.00779	0.00061	0.00345	0	55	1	6	6	0	0	2	0	0	0	0	0	0	0	0	2	2	3	3	3	2	2	5
"sp|Q2NK31|POTA_AYWBP"	"to_be_predicted"	417	0	0	0.03893	0.00251	0.00403	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
"tr|Q2NK64|Q2NK64_AYWBP"	"to_be_predicted"	355	0	0	0.95954	0	0.07786	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	3	2	0	1
"tr|Q2NKB4|Q2NKB4_AYWBP"	"to_be_predicted"	876	0	0	0.19811	0.00761	0.00127	0	0	0	13	4	0	1	7	0	0	0	0	0	0	4	0	1	0	7	0	2	1	5	5
"sp|Q2NKC0|RL9_AYWBP"	"to_be_predicted"	849	0.659	2	42.8495400000003	19.49047	0.01767	1	0	2	11	6	0	1	1	0	0	0	0	0	0	0	1	1	2	5	1	3	1	3	3
