"seq_id"	"name"	"sequence length"	"signal peptide"	"transmembrane domain"	"aa in tr domain"	"first 60 aa"	"prob N-in"	"mTMR"	"IDRs"	"CAMP_PHOSPHO_SITE"	"PKC_PHOSPHO_SITE"	"CK2_PHOSPHO_SITE"	"MYRISTYL"	"AMIDATION"	"ASN_GLYCOSYLATION"	"ASPARAGINE_RICH "	"LEUCINE_ZIPPER"	"MICROBODIES_CTER"	"RGD"	"TYR_PHOSPHO_SITE_1"	"TYR_PHOSPHO_SITE_2"	"CLUMP0"	"CLUMP3"	"CLUMP5"	"CLUMP6"	"CLUMP7"	"CLUMP8"	"bin1"	"bin2"	"bin3"	"bin4"
2570378666	"to_be_predicted"	184	0	0	0.00095	0.00079	0.05173	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1
2570378667	"to_be_predicted"	62	0	0	0	0	0.3455	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
2570378668	"to_be_predicted"	169	0	0	0.00021	0	0.07772	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"SWP1"	"to_be_predicted"	112	0.753	1	19.95028	19.95028	0.06004	1	23	0	4	4	0	0	1	0	0	1	0	0	0	0	0	1	0	2	2	0	3	2	0
2570378670	"to_be_predicted"	76	0	0	0.00898	0.00896	0.02271	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2570378671	"to_be_predicted"	54	0.611	1	23.00174	23.00174	0.99586	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
2570378672	"to_be_predicted"	110	0	2	45.71095	22.95401	0.84642	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
2570378673	"to_be_predicted"	182	0.585	1	20.19435	20.19435	0.15283	1	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	1
2570378674	"to_be_predicted"	153	0	1	25.78371	20.94461	0.56275	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1
2570378675	"to_be_predicted"	204	0	5	111.49059	31.0181	0.70424	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2570378676	"to_be_predicted"	265	0.59	6	128.58977	19.21789	0.98188	1	0	0	5	1	0	0	3	0	0	0	0	0	0	0	0	2	0	3	0	3	0	0	3
2570378677	"to_be_predicted"	72	0	0	19.14598	19.14576	0.24042	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2570378678	"to_be_predicted"	604	0	6	127.48508	20.84552	0.99888	1	0	0	11	1	0	0	1	0	0	0	0	0	0	1	0	0	1	4	0	4	0	2	0
2570378679	"to_be_predicted"	242	0	0	0.00413	0.0039	0.03913	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	2
2570378680	"to_be_predicted"	86	0	0	0.00069	0.00069	0.86115	0	21	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1
2570378681	"to_be_predicted"	424	0	0	0.04696	0	0.00341	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
2570378682	"to_be_predicted"	91	0	0	0.06936	0.01327	0.40727	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
2570378683	"to_be_predicted"	308	0	0	0.01247	0.01188	0.04204	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1
2570378684	"to_be_predicted"	102	0	0	0.00191	0.00191	0.24852	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2570378685	"to_be_predicted"	111	0	0	5.86079	5.84702	0.66202	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1
2570378686	"to_be_predicted"	92	0	0	0.00019	3E-05	0.04793	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0
2570378687	"to_be_predicted"	419	0	0	0.11853	0.07992	0.00525	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2570378689	"to_be_predicted"	315	0.684	2	45.1539	22.35927	0.24574	1	26	0	2	1	0	0	2	0	0	1	0	0	0	0	0	0	2	2	0	1	1	2	0
2570378690	"to_be_predicted"	380	0.675	1	20.05595	20.00422	0.92984	1	20	0	3	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	0	1
2570378691	"to_be_predicted"	254	0	0	0.01727	0.00768	0.22957	0	0	1	3	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1
2570378692	"to_be_predicted"	354	0	8	181.9731	34.47337	0.49251	1	0	1	4	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0
2570378693	"to_be_predicted"	364	0	9	186.15868	39.28232	0.23163	1	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	1
2570378694	"to_be_predicted"	392	0.748	2	44.94244	22.54364	0.99369	1	26	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
2570378695	"to_be_predicted"	504	0	5	96.5612400000001	0.01273	0.48543	0	0	1	7	1	0	0	2	0	0	1	0	0	0	1	0	0	0	2	1	1	2	0	1
2570378696	"to_be_predicted"	287	0	0	0.05211	0.00205	0.04741	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
2570378697	"to_be_predicted"	294	0	0	0.00714	0	0.03164	0	0	1	5	4	0	0	1	0	0	0	0	0	0	0	0	0	3	2	1	1	2	3	0
2570378698	"to_be_predicted"	139	0	0	0.74385	0.05933	0.16183	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1
2570378699	"to_be_predicted"	321	0	0	0.581899999999999	0.07028	0.09937	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	2
2570378700	"to_be_predicted"	429	0	0	0.417760000000001	0.26673	0.07046	0	0	0	10	1	0	0	1	0	0	1	0	0	0	1	0	0	1	3	0	1	1	1	3
2570378701	"to_be_predicted"	161	0	0	3.80403	0.00733	0.42947	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
2570378702	"to_be_predicted"	209	0	0	1.25794	0.0143	0.10786	0	0	0	4	2	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	3	0	0	0
2570378703	"to_be_predicted"	90	0	0	0.00896	0.00896	0.26436	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2570378704	"to_be_predicted"	62	0	0	0	0	0.77528	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
2570378705	"to_be_predicted"	149	0	1	20.88836	20.88731	0.26308	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2570378706	"to_be_predicted"	185	0	0	0.04628	0.0273	0.12534	0	0	0	5	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
2570378707	"to_be_predicted"	167	0	0	0.00316	0.00115	0.14339	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	3	0	1	0	0	1	2	1
2570378708	"to_be_predicted"	113	0	0	0.00199	0.00199	0.05232	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2570378709	"to_be_predicted"	75	0	0	0.52806	0.41228	0.66317	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2570378710	"to_be_predicted"	202	0	0	0.00901	5E-05	0.13977	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
2570378711	"to_be_predicted"	240	0	6	141.42734	32.89172	0.99864	1	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1	1	0
2570378712	"to_be_predicted"	89	0	0	0.00024	0.00011	0.379	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0
2570378713	"to_be_predicted"	536	0	0	0.25704	0.00119	0.00421	0	0	0	6	1	0	0	3	0	0	0	0	0	0	2	0	1	1	3	0	2	1	3	2
2570378714	"to_be_predicted"	164	0.821	2	44.92247	22.35275	0.9989	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
2570378715	"to_be_predicted"	642	0	0	4.69970999999999	0.632	0.20721	0	0	0	5	0	0	0	1	0	0	2	0	0	0	1	0	0	0	3	0	1	1	0	2
2570378716	"to_be_predicted"	378	0	0	0.15724	0.1439	0.01389	0	0	1	8	3	0	1	2	0	0	0	0	0	0	0	0	0	1	7	0	1	1	4	3
2570378717	"to_be_predicted"	745	0	0	0.03933	0.00028	0.00124	0	0	0	7	3	0	0	2	0	0	3	0	0	0	1	0	0	1	3	1	3	1	2	0
2570378718	"to_be_predicted"	422	0	0	0.27739	0	0.01675	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
2570378719	"to_be_predicted"	587	0	0	0.549859999999999	0.539029999999999	0.03773	0	0	0	7	6	0	0	1	0	0	0	0	0	0	0	0	0	4	2	1	1	4	1	1
2570378720	"to_be_predicted"	436	0	0	9.89786999999996	8.68815	0.36486	0	0	1	3	0	0	0	2	0	0	1	0	0	0	0	0	1	0	2	0	0	1	1	1
2570378721	"to_be_predicted"	673	0	2	42.0424000000001	19.92207	0.00705	1	62	1	8	6	0	0	4	0	0	0	0	0	0	0	0	4	2	2	1	1	1	3	5
2570378722	"to_be_predicted"	306	0	0	0.00312	0.00023	0.0206	0	0	0	4	3	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	1	1	1	0
2570378723	"to_be_predicted"	231	0	0	1.65144	1.56858	0.22627	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
2570378724	"to_be_predicted"	347	0.605	1	22.31158	21.35659	0.45526	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	1
2570378725	"to_be_predicted"	233	0	5	111.44963	23.22364	0.03638	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2570378726	"to_be_predicted"	110	0	0	0.67277	0.00039	0.25317	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0
2570378727	"to_be_predicted"	74	0	0	0	0	0.58162	0	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
2570378728	"to_be_predicted"	180	0	0	0.14854	0.00172	0.02893	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
2570378729	"to_be_predicted"	152	0	0	0.05657	0.00968	0.43018	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2570378730	"to_be_predicted"	130	0.57	0	0.21624	0.00953	0.37961	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1
2570378731	"to_be_predicted"	449	0	0	0.364940000000001	0.24323	0.03954	0	0	1	3	1	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	2	1	1	0
2570378732	"to_be_predicted"	438	0	0	2.53877	0.01469	0.02008	0	0	1	3	2	0	0	2	0	0	1	0	0	0	0	1	0	2	3	0	2	0	2	2
2570378733	"to_be_predicted"	546	0	0	1.65053	0.14295	0.05304	0	0	1	12	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	2	0
2570378734	"to_be_predicted"	429	0	0	0.02586	0.00061	0.01183	0	0	0	6	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
2570378735	"to_be_predicted"	234	0	0	0.0373	0.00016	0.08796	0	0	0	5	2	0	0	2	0	0	0	0	0	0	1	1	1	0	1	1	3	1	1	0
2570378736	"to_be_predicted"	180	0	0	0.00502	0.00436	0.09034	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0
2570378737	"to_be_predicted"	152	0	0	0.13603	0.05218	0.68603	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	1
