"seq_id"	"name"	"sequence length"	"signal peptide"	"transmembrane domain"	"aa in tr domain"	"first 60 aa"	"prob N-in"	"mTMR"	"IDRs"	"CAMP_PHOSPHO_SITE"	"PKC_PHOSPHO_SITE"	"CK2_PHOSPHO_SITE"	"MYRISTYL"	"AMIDATION"	"ASN_GLYCOSYLATION"	"ASPARAGINE_RICH "	"LEUCINE_ZIPPER"	"MICROBODIES_CTER"	"RGD"	"TYR_PHOSPHO_SITE_1"	"TYR_PHOSPHO_SITE_2"	"CLUMP0"	"CLUMP3"	"CLUMP5"	"CLUMP6"	"CLUMP7"	"CLUMP8"	"bin1"	"bin2"	"bin3"	"bin4"
"USQ93624.1"	"to_be_predicted"	117	0	0	0.00674	0.00657	0.26976	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
"USQ93623.1"	"to_be_predicted"	837	0	0	0.03301	0	0.00152	0	0	1	15	2	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	1	1	2	1
"USQ93622.1"	"to_be_predicted"	337	0	0	1.32926	1.19661	0.10298	0	0	1	5	1	0	0	3	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	2
"USQ93621.1"	"to_be_predicted"	979	0	0	0.04569	0	0.00161	0	0	0	14	3	0	0	5	0	0	1	0	0	0	1	1	1	1	7	1	3	2	3	5
"USQ93620.1"	"to_be_predicted"	154	0	0	0.00091	0.00056	0.08652	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0
"USQ93619.1"	"to_be_predicted"	347	0	0	0.03292	0.0163	0.01493	0	0	0	7	4	0	0	3	0	0	0	0	0	0	1	0	1	1	2	1	2	3	1	2
"USQ93618.1"	"to_be_predicted"	208	0	0	0.00279	0.0002	0.10622	0	24	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1
"USQ93617.1"	"to_be_predicted"	89	0	0	0.0029	0.0029	0.69819	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1
"USQ93616.1"	"to_be_predicted"	114	0	0	0.00016	0.00016	0.25127	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1
"USQ93615.1"	"to_be_predicted"	125	0	0	0.17147	0	0.0911	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"USQ93614.1"	"to_be_predicted"	176	0	0	0.01456	0.00145	0.4546	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"USQ93613.1"	"to_be_predicted"	1070	0	0	0.02473	0	0.00094	0	0	0	10	3	0	0	5	0	0	1	0	0	0	1	1	1	1	6	1	3	4	4	0
"USQ93612.1"	"to_be_predicted"	395	0	0	1.75375	0.00032	0.06069	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1
"USQ93611.1"	"to_be_predicted"	27	0	0	0.0011	0.0011	0.13909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"USQ93610.1"	"to_be_predicted"	827	0	0	0.04769	0	0.00108	0	0	0	12	2	0	0	5	0	0	1	0	0	0	1	1	1	0	6	1	3	0	1	6
"USQ93609.1"	"to_be_predicted"	229	0	0	0.11722	0	0.30678	0	0	0	5	2	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0
"USQ93608.1"	"to_be_predicted"	152	0	0	0.00627	0.00033	0.18787	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"USQ93607.1"	"to_be_predicted"	460	0.607	1	20.74673	20.74388	0.95485	1	0	2	6	3	0	0	1	0	0	1	0	0	0	1	0	0	2	2	0	3	1	1	1
"USQ93606.1"	"to_be_predicted"	266	0	1	22.94661	22.94661	0.9902	1	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0
"USQ93605.1"	"to_be_predicted"	493	0.663	1	22.8203999999999	22.72505	0.96308	1	0	0	9	4	0	0	1	0	0	1	0	0	0	1	0	0	3	2	0	1	4	1	1
"USQ93604.1"	"to_be_predicted"	1503	0.678	1	22.60539	22.5988	0.99994	1	0	5	14	9	0	0	2	0	0	3	0	0	0	2	0	0	4	6	1	6	4	6	5
"USQ93603.1"	"to_be_predicted"	213	0.592	1	26.95574	20.41863	0.99739	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
"USQ93602.1"	"to_be_predicted"	104	0.623	1	20.64921	20.64921	0.12138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"USQ93601.1"	"to_be_predicted"	299	0.696	1	18.88287	18.8792	0.0981	1	34	0	2	3	0	0	0	0	0	0	0	0	0	1	0	1	0	3	1	2	2	0	2
"USQ93600.1"	"to_be_predicted"	160	0	0	0.0008	0	0.44523	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0
"USQ93599.1"	"to_be_predicted"	51	0	0	0.13617	0.13617	0.54064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"USQ93598.1"	"to_be_predicted"	332	0	0	0.00602	0.0054	0.02771	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0
"USQ93597.1"	"to_be_predicted"	73	0	0	0	0	0.90761	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
"USQ93596.1"	"to_be_predicted"	391	0.687	1	19.71605	19.71605	0.99777	1	152	1	10	4	0	0	1	0	0	0	0	0	0	1	0	0	2	2	1	1	3	4	3
"USQ93595.1"	"to_be_predicted"	277	0.679	1	19.72079	19.72079	0.99197	1	46	1	7	4	0	0	4	0	0	2	0	0	0	2	0	3	2	3	1	5	2	1	3
"USQ93594.1"	"to_be_predicted"	601	0	1	18.72339	18.72293	0.99909	1	0	0	5	2	0	0	3	0	0	0	0	0	0	2	0	1	2	1	0	2	3	2	1
"USQ93593.1"	"to_be_predicted"	584	0.614	1	33.7673000000001	17.46324	0.93525	1	0	0	10	2	0	0	3	0	0	1	0	0	0	2	0	1	2	2	0	3	0	2	2
"USQ93592.1"	"to_be_predicted"	52	0	0	0	0	0.60612	0	52	0	3	3	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	1	2	2	1
"USQ93591.1"	"to_be_predicted"	140	0	0	0	0	0.13803	0	0	1	3	1	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	1
"USQ93590.1"	"to_be_predicted"	170	0.603	1	22.67248	22.67139	0.59215	1	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	4
"USQ93589.1"	"to_be_predicted"	495	0	10	251.92068	26.48186	0.99009	1	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1
"USQ93588.1"	"to_be_predicted"	172	0	0	0.04209	0.00119	0.05041	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"USQ93587.1"	"to_be_predicted"	314	0	1	21.04924	0.01403	0.00535	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1
"USQ93586.1"	"to_be_predicted"	114	0	0	0.02491	0	0.16174	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0
"USQ93585.1"	"to_be_predicted"	667	0	0	0.02737	0	0.00189	0	0	1	11	3	0	0	3	0	0	0	0	0	0	3	0	0	1	3	0	0	3	2	2
"USQ93584.1"	"to_be_predicted"	253	0	0	0.00723	0	0.0355	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
"USQ93583.1"	"to_be_predicted"	459	0	0	0.306770000000001	0.1421	0.0178	0	0	0	4	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1
"USQ93582.1"	"to_be_predicted"	252	0	0	7.70595000000001	0.00018	0.62005	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0
"USQ93581.1"	"to_be_predicted"	76	0	0	0.00018	3E-05	0.08671	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
"USQ93580.1"	"to_be_predicted"	337	0	0	0.916339999999998	0.03547	0.07174	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
"USQ93579.1"	"to_be_predicted"	363	0	0	1.77273	0.00034	0.04453	0	0	0	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	4
"USQ93578.1"	"to_be_predicted"	251	0.593	1	23.89969	23.64813	0.74782	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0
"USQ93577.1"	"to_be_predicted"	160	0	0	0.04343	0.00283	0.04956	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
"USQ93576.1"	"to_be_predicted"	288	0	0	3.29615	0.31001	0.04949	0	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	2	0
"USQ93575.1"	"to_be_predicted"	348	0	1	21.86116	6E-05	0.97466	0	0	1	1	1	0	0	2	0	0	1	0	0	0	2	0	1	0	1	0	2	1	0	1
"USQ93574.1"	"to_be_predicted"	332	0	0	0.02431	0.01464	0.15924	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
"USQ93573.1"	"to_be_predicted"	212	0.643	6	127.39873	38.15504	0.99771	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	0	0
"USQ93572.1"	"to_be_predicted"	73	0	0	0	0	0.89791	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
"USQ93571.1"	"to_be_predicted"	332	0	0	0.00602	0.0054	0.02771	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0
"USQ93570.1"	"to_be_predicted"	102	0	0	0	0	0.2983	0	0	0	3	1	0	0	1	0	0	1	0	0	0	1	1	0	0	2	0	2	0	2	0
"USQ93569.1"	"to_be_predicted"	117	0	0	0.00042	0.00039	0.77965	0	0	1	2	1	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	2	0	1	0
"USQ93568.1"	"to_be_predicted"	423	0	4	84.1185400000002	25.0423	0.04143	1	0	1	6	1	0	0	2	0	0	0	0	0	0	0	0	0	1	4	1	1	1	2	2
"USQ93567.1"	"to_be_predicted"	913	0	10	205.5532	0.2823	0.69105	0	0	0	11	4	0	0	1	0	0	0	0	0	0	1	0	0	1	4	1	2	4	1	0
"USQ93566.1"	"to_be_predicted"	596	0.626	1	42.6549	16.0915	0.65777	1	0	1	13	1	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	1	2	1	2
"USQ93565.1"	"to_be_predicted"	86	0.66	1	21.46426	21.46426	0.98601	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1
"USQ93564.1"	"to_be_predicted"	96	0	0	0.0462	0.0462	0.2093	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
"USQ93563.1"	"to_be_predicted"	516	0	1	19.5958899999999	19.5923	0.99431	1	0	2	5	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	4	0	0	1
"USQ93562.1"	"to_be_predicted"	257	0	0	0.00845	0.00537	0.02106	0	0	1	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0
