"seq_id"	"name"	"sequence length"	"signal peptide"	"transmembrane domain"	"aa in tr domain"	"first 60 aa"	"prob N-in"	"mTMR"	"IDRs"	"CAMP_PHOSPHO_SITE"	"PKC_PHOSPHO_SITE"	"CK2_PHOSPHO_SITE"	"MYRISTYL"	"AMIDATION"	"ASN_GLYCOSYLATION"	"ASPARAGINE_RICH "	"LEUCINE_ZIPPER"	"MICROBODIES_CTER"	"RGD"	"TYR_PHOSPHO_SITE_1"	"TYR_PHOSPHO_SITE_2"	"CLUMP0"	"CLUMP3"	"CLUMP5"	"CLUMP6"	"CLUMP7"	"CLUMP8"	"bin1"	"bin2"	"bin3"	"bin4"
"sp|Q6YPW4|PYRG_ONYPE"	"to_be_predicted"	540	0	0	13.34414	12.85467	0.57109	1	0	0	5	3	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	1	1	1	1
"tr|Q6YR86|Q6YR86_ONYPE"	"to_be_predicted"	674	0	2	41.7425700000001	19.91722	0.00604	1	65	2	8	4	0	0	3	0	0	0	0	0	0	0	0	2	2	2	0	1	1	3	2
"sp|P60351|TRUA_ONYPE"	"to_be_predicted"	243	0	0	0.48049	0.00087	0.02577	0	0	1	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	1	1	1
"sp|P60397|RSMH_ONYPE"	"to_be_predicted"	304	0	0	0.00704	0.00098	0.06054	0	0	0	5	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	2
"sp|P60470|REPE_ONYPE"	"to_be_predicted"	434	0	0	0.00162	0.00037	0.06287	0	0	1	5	6	0	0	2	0	0	1	0	0	0	0	0	1	1	6	1	3	2	4	0
"sp|P60792|LEPA_ONYPE"	"to_be_predicted"	605	0	0	0.02821	0.00233	0.00263	0	0	0	11	1	0	1	3	0	0	0	0	0	0	0	1	1	1	2	0	1	0	1	3
"sp|P60823|PLSY_ONYPE"	"to_be_predicted"	172	0	5	103.3423	28.19133	0.05347	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|P61745|GPDA_ONYPE"	"to_be_predicted"	329	0	0	0.29307	0.00622	0.02487	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q6YPI0|MNME_ONYPE"	"to_be_predicted"	460	0	0	0.05179	0.04831	0.00347	0	0	0	5	1	0	0	4	0	0	1	0	0	0	1	0	2	0	5	0	1	1	4	2
"sp|Q6YPJ4|RSMA_ONYPE"	"to_be_predicted"	268	0	0	0.443959999999999	0.00109	0.26903	0	0	1	6	1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	3	0	0	1
"sp|Q6YPM1|DNAK_ONYPE"	"to_be_predicted"	615	0	0	0.0448	0.0095	0.00417	0	49	1	10	1	0	0	2	0	0	0	0	0	0	1	0	1	0	4	0	0	0	3	3
"sp|Q6YPM2|DNAJ_ONYPE"	"to_be_predicted"	257	0	0	0.00561	0	0.1329	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0
"sp|Q6YPR6|POTA_ONYPE"	"to_be_predicted"	417	0	0	0.01664	0.00249	0.00405	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0
"tr|Q6YPU7|Q6YPU7_ONYPE"	"to_be_predicted"	460	0	0	0.00737	0	0.00366	0	61	1	7	4	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	2	1	2	3
"tr|Q6YPU8|Q6YPU8_ONYPE"	"to_be_predicted"	604	0	0	0.00578	0	0.00205	0	0	2	10	3	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	1
"tr|Q6YPU9|Q6YPU9_ONYPE"	"to_be_predicted"	452	0	0	0.13008	0.1193	0.0086	0	0	0	8	2	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	1	1	1	1
"sp|Q6YPW7|RNC_ONYPE"	"to_be_predicted"	238	0	0	0.39225	0.00895	0.12005	0	24	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	1
"sp|Q6YPW8|PLSX_ONYPE"	"to_be_predicted"	366	0	0	0.1177	0.00157	0.01616	0	33	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|Q6YPX7|SYFB_ONYPE"	"to_be_predicted"	822	0	0	0.0387	0.00042	0.00139	0	24	0	11	1	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0	2	1	0
"sp|Q6YPX9|SYFA_ONYPE"	"to_be_predicted"	344	0	0	0.00487	4E-05	0.09458	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	1	3
"sp|Q6YPY6|SYK_ONYPE"	"to_be_predicted"	511	0	0	0.01469	0.00011	0.00232	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	2	2
"tr|Q6YPZ1|Q6YPZ1_ONYPE"	"to_be_predicted"	263	0	3	59.6567200000001	40.60801	0.19468	1	0	0	2	3	0	0	1	0	0	0	1	0	0	1	1	0	0	3	0	1	2	2	0
"sp|Q6YPZ6|TSAD_ONYPE"	"to_be_predicted"	233	0	0	1.33896	0.00086	0.07545	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	1	0	2	1	0	1	0	2	1
"tr|Q6YQ76|Q6YQ76_ONYPE"	"to_be_predicted"	835	0	0	0.401160000000001	0.04249	0.01881	0	24	1	18	4	0	0	2	0	0	2	0	0	0	1	0	1	1	6	1	3	2	2	3
"sp|Q6YQA1|SECA_ONYPE"	"to_be_predicted"	835	0.574	0	0.11395	0	0.00537	0	0	0	23	3	0	0	4	0	0	1	0	0	0	0	0	1	3	6	1	3	2	5	4
"sp|Q6YQA6|SYY_ONYPE"	"to_be_predicted"	413	0	0	0.13984	0.06049	0.01293	0	0	2	6	5	0	1	3	0	0	0	0	0	0	2	1	1	2	7	1	1	3	4	6
"sp|Q6YQC6|TIG_ONYPE"	"to_be_predicted"	430	0	0	0.0009	0	0.03462	0	0	0	5	5	0	0	3	0	0	0	0	0	0	1	0	1	1	3	0	1	2	2	1
"tr|Q6YQC7|Q6YQC7_ONYPE"	"to_be_predicted"	791	0	0	0.03881	0.00062	0.00221	0	0	0	8	3	0	0	1	0	0	0	0	0	0	1	0	0	2	4	1	3	2	4	1
"sp|Q6YQD6|DNLJ_ONYPE"	"to_be_predicted"	671	0	0	0.11419	0	0.00144	0	0	2	10	4	0	0	1	0	0	0	0	0	0	1	0	0	1	3	0	1	3	1	0
"sp|Q6YQE1|UVRB_ONYPE"	"to_be_predicted"	670	0	0	0.02235	0.01675	0.00104	0	0	0	12	3	0	0	2	0	0	0	1	0	0	0	0	0	0	4	0	0	2	2	0
"sp|Q6YQR8|SYA_ONYPE"	"to_be_predicted"	864	0	0	0.01766	0.0007	0.00058	0	0	0	9	5	0	0	3	0	0	2	0	0	0	1	1	1	2	3	0	1	1	2	5
"sp|Q6YQT0|TYSY_ONYPE"	"to_be_predicted"	288	0	0	7.42109	0.00228	0.27984	0	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	1	1	0
"sp|Q6YQT8|GPMI_ONYPE"	"to_be_predicted"	512	0	0	0.00491	0	0.00221	0	0	0	10	1	0	0	2	0	0	0	0	0	0	1	0	0	0	3	0	2	0	1	1
"sp|Q6YQT9|ENO_ONYPE"	"to_be_predicted"	430	0	0	0.07958	0	0.00772	0	0	1	4	4	0	0	1	0	0	0	0	0	0	0	0	1	2	2	1	0	1	4	2
"sp|Q6YQU0|G6PI_ONYPE"	"to_be_predicted"	426	0	0	3.28213	0.00023	0.05144	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
"tr|Q6YQU4|Q6YQU4_ONYPE"	"to_be_predicted"	647	0	0	0.00262	0.00018	0.00105	0	0	0	13	1	0	0	1	0	0	1	0	0	0	1	0	0	1	2	0	1	2	0	1
"sp|Q6YQU8|MIAA_ONYPE"	"to_be_predicted"	291	0	0	0.06414	0.00123	0.04316	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0
"sp|Q6YQW2|RPOC_ONYPE"	"to_be_predicted"	1353	0	0	0.08121	0.00017	4E-05	0	0	0	19	9	0	0	1	0	0	1	0	0	0	1	0	1	4	4	1	6	3	2	3
"sp|Q6YQX2|PNP_ONYPE"	"to_be_predicted"	715	0	0	0.15294	0.00434	0.00504	0	0	0	10	2	0	0	1	0	0	1	0	0	0	1	0	0	1	3	0	2	1	1	1
"sp|Q6YQZ5|RPOA_ONYPE"	"to_be_predicted"	330	0	0	0.01312	0.0051	0.01923	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	2
"tr|Q6YR00|Q6YR00_ONYPE"	"to_be_predicted"	247	0	0	0.36543	0.31208	0.05963	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	1	1
