"seq_id"	"name"	"sequence length"	"signal peptide"	"transmembrane domain"	"aa in tr domain"	"first 60 aa"	"prob N-in"	"mTMR"	"IDRs"	"CAMP_PHOSPHO_SITE"	"PKC_PHOSPHO_SITE"	"CK2_PHOSPHO_SITE"	"MYRISTYL"	"AMIDATION"	"ASN_GLYCOSYLATION"	"ASPARAGINE_RICH "	"LEUCINE_ZIPPER"	"MICROBODIES_CTER"	"RGD"	"TYR_PHOSPHO_SITE_1"	"TYR_PHOSPHO_SITE_2"	"CLUMP0"	"CLUMP3"	"CLUMP5"	"CLUMP6"	"CLUMP7"	"CLUMP8"	"bin1"	"bin2"	"bin3"	"bin4"
"tr|B3R072|B3R072_PHYMT"	"to_be_predicted"	541	0.583	1	22.4388099999999	22.28496	0.98167	1	0	1	4	4	0	0	3	0	0	0	0	0	0	2	0	0	1	0	1	1	3	3	0
"tr|B3QZF7|B3QZF7_PHYMT"	"to_be_predicted"	426	0	0	15.4662	0.00036	0.32519	0	0	1	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	3	0	0
"sp|B3QZG1|PNP_PHYMT"	"to_be_predicted"	728	0	0	0.33084	0.04828	0.00826	0	0	0	8	4	0	0	2	0	0	1	0	0	0	1	0	0	3	3	0	1	3	1	2
"tr|B3QZH1|B3QZH1_PHYMT"	"to_be_predicted"	1352	0	0	0.04329	0.00194	0.00083	0	0	0	19	6	0	0	4	0	0	2	0	0	0	1	0	0	4	6	0	5	2	3	4
"tr|B3QZK7|B3QZK7_PHYMT"	"to_be_predicted"	368	0	0	1.67419	0	0.12512	0	0	0	9	0	0	1	1	0	0	0	1	0	0	0	0	0	0	5	0	1	1	3	0
"tr|B3QZK9|B3QZK9_PHYMT"	"to_be_predicted"	190	0	0	0.18676	0.00593	0.51411	0	20	0	4	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1
"tr|B3QZM6|B3QZM6_PHYMT"	"to_be_predicted"	269	0	0	0.418150000000001	0.01466	0.25735	0	0	1	4	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	2	0	0	2
"tr|B3QZN4|B3QZN4_PHYMT"	"to_be_predicted"	241	0	0	0.59199	0.11391	0.08808	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
"tr|B3QZP8|B3QZP8_PHYMT"	"to_be_predicted"	861	0	0	0.18984	0.00071	0.00057	0	0	0	5	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0
"tr|B3QZQ2|B3QZQ2_PHYMT"	"to_be_predicted"	912	0	0	0.00406	0.00011	0.00012	0	0	0	7	3	0	0	2	0	0	0	0	0	0	3	1	1	1	3	0	1	2	1	5
"tr|B3QZS1|B3QZS1_PHYMT"	"to_be_predicted"	574	0	0	0.05381	0.00153	0.01061	0	0	0	10	2	0	0	5	0	0	0	0	0	0	2	0	1	1	3	0	2	4	1	0
"tr|B3QZS2|B3QZS2_PHYMT"	"to_be_predicted"	415	0	1	24.49531	18.62633	0.69615	1	0	0	4	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	1
"sp|B3QZS3|FTSH2_PHYMT"	"to_be_predicted"	686	0.583	2	52.2623100000002	22.33504	0.89798	1	0	1	12	6	0	0	3	0	0	2	0	0	0	2	0	0	0	7	3	7	0	3	5
"sp|B3QZS5|DNLJ_PHYMT"	"to_be_predicted"	659	0	0	0.07077	0	0.00145	0	0	3	11	2	0	0	3	0	0	2	1	0	0	0	0	0	1	4	0	2	1	2	0
"sp|B3QZT1|OBG_PHYMT"	"to_be_predicted"	421	0	0	0.01281	0.00021	0.00491	0	0	0	6	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
"sp|B3QZT9|LEPA_PHYMT"	"to_be_predicted"	605	0	0	1.10937	0.00268	0.02513	0	0	0	10	3	0	0	1	0	0	1	1	0	0	0	2	1	0	3	0	1	1	3	1
"tr|B3QZU8|B3QZU8_PHYMT"	"to_be_predicted"	778	0	0	0.09594	0.00225	0.00345	0	0	0	7	3	0	0	5	0	0	2	0	0	0	2	0	2	2	3	1	4	3	2	2
"tr|B3QZV5|B3QZV5_PHYMT"	"to_be_predicted"	606	0	0	0.05308	0	0.00157	0	0	0	7	3	0	0	3	0	0	1	0	0	0	1	1	0	1	4	1	3	3	1	3
"tr|B3QZW2|B3QZW2_PHYMT"	"to_be_predicted"	253	0	3	62.1637100000001	40.04023	0.17124	1	0	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0
"tr|B3QZW7|B3QZW7_PHYMT"	"to_be_predicted"	785	0	0	0.03952	0.00146	0.00153	0	0	2	10	1	0	0	1	0	0	1	0	0	0	0	1	0	0	4	0	2	2	0	2
"sp|B3QZW9|ACKA_PHYMT"	"to_be_predicted"	391	0	0	0.757419999999999	0	0.03098	0	0	1	7	2	0	0	3	0	0	0	0	0	0	2	1	0	1	2	0	2	1	2	1
"sp|B3QZX0|TYSY_PHYMT"	"to_be_predicted"	288	0	1	18.48603	0.01235	0.78058	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1	0
"tr|B3QZY4|B3QZY4_PHYMT"	"to_be_predicted"	444	0	0	1.23789	0.3072	0.05356	0	0	3	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	2	1	0	1
"tr|B3QZY8|B3QZY8_PHYMT"	"to_be_predicted"	863	0	0	0.75137	0.00299	0.03476	0	0	0	7	0	0	0	2	0	0	0	0	0	0	2	0	0	0	3	0	3	0	1	1
"tr|B3R012|B3R012_PHYMT"	"to_be_predicted"	248	0	0	0.28261	0.24416	0.05857	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	2	1	1
"tr|B3R017|B3R017_PHYMT"	"to_be_predicted"	331	0	0	0.00715	0.00654	0.01579	0	0	0	6	2	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	1	3	0	0
"sp|B3R022|TRUA_PHYMT"	"to_be_predicted"	244	0	0	3.08355	0.00287	0.12717	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0
"tr|B3R054|B3R054_PHYMT"	"to_be_predicted"	224	0	0	0.01658	0.01625	0.01958	0	0	1	4	1	0	0	1	0	0	1	0	0	0	0	0	1	1	2	0	0	1	1	2
"sp|B3R057|FTSH1_PHYMT"	"to_be_predicted"	600	0	2	39.88697	20.1944	0.1467	1	0	2	11	0	0	0	3	0	0	2	0	0	0	1	0	1	0	3	0	1	1	0	3
"sp|B3R075|RNC_PHYMT"	"to_be_predicted"	225	0	0	12.2174	0.12482	0.50847	0	0	0	4	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	4	0	1
"tr|B3R076|B3R076_PHYMT"	"to_be_predicted"	350	0	0	0.12834	0.00158	0.02011	0	0	0	5	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0	0
"tr|B3R098|B3R098_PHYMT"	"to_be_predicted"	599	0	0	0.01096	0.00061	0.001	0	0	1	14	4	0	0	1	0	0	1	0	0	0	1	1	1	3	3	0	2	1	4	3
"sp|B3R0A1|RSGA_PHYMT"	"to_be_predicted"	304	0	0	0.14385	0.00171	0.04133	0	0	1	7	3	0	0	0	0	0	1	0	0	0	0	1	0	2	4	0	1	2	2	2
"tr|B3R0A2|B3R0A2_PHYMT"	"to_be_predicted"	803	0	0	0.574849999999997	0.0998	0.02517	0	0	0	13	3	0	0	3	0	0	0	0	0	0	2	0	0	3	4	0	4	3	2	3
"tr|B3R0B9|B3R0B9_PHYMT"	"to_be_predicted"	497	0	0	0.02173	0	0.01193	0	0	0	7	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2
"tr|B3R0C3|B3R0C3_PHYMT"	"to_be_predicted"	797	0	0	0.03077	0	0.00157	0	0	2	13	0	0	0	2	0	0	1	0	0	0	1	0	0	1	5	0	2	1	4	1
"sp|B3R0D7|SYY_PHYMT"	"to_be_predicted"	417	0	0	4.07645999999999	4.03892	0.18166	0	0	0	1	3	0	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	3	2	0
"sp|B3R0E3|GPDA_PHYMT"	"to_be_predicted"	331	0	0	0.13693	0.00826	0.01177	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1
"sp|B3R0E8|MIAA_PHYMT"	"to_be_predicted"	299	0	0	0.82656	0.00132	0.06689	0	0	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	1
"sp|B3R0F3|RNH3_PHYMT"	"to_be_predicted"	288	0	0	1.87171	0.00134	0.06839	0	0	0	4	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	2
"sp|B3R0F5|SYS_PHYMT"	"to_be_predicted"	423	0	0	0.08188	0	0.00457	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	1
"tr|B3R0G3|B3R0G3_PHYMT"	"to_be_predicted"	193	0	0	0.00875	0.00743	0.1354	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	0	0
"sp|B3R0G5|GLYA_PHYMT"	"to_be_predicted"	419	0	0	0.06984	0	0.01398	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
