"seq_id"	"name"	"sequence length"	"signal peptide"	"transmembrane domain"	"aa in tr domain"	"first 60 aa"	"prob N-in"	"mTMR"	"IDRs"	"CAMP_PHOSPHO_SITE"	"PKC_PHOSPHO_SITE"	"CK2_PHOSPHO_SITE"	"MYRISTYL"	"AMIDATION"	"ASN_GLYCOSYLATION"	"ASPARAGINE_RICH "	"LEUCINE_ZIPPER"	"MICROBODIES_CTER"	"RGD"	"TYR_PHOSPHO_SITE_1"	"TYR_PHOSPHO_SITE_2"	"CLUMP0"	"CLUMP3"	"CLUMP5"	"CLUMP6"	"CLUMP7"	"CLUMP8"	"bin1"	"bin2"	"bin3"	"bin4"
"lcl|CP015149.1_prot_AOF54549.1_1"	"to_be_predicted"	507	0	0	0.01236	0.00037	0.00927	0	0	2	7	3	0	0	1	0	0	0	0	0	0	0	0	1	1	4	1	1	4	1	2
"lcl|CP015149.1_prot_AOF54550.1_2"	"to_be_predicted"	378	0	0	0.00178	0.00035	0.00705	0	0	1	6	6	0	0	1	0	0	0	0	0	0	0	0	1	2	2	0	0	1	2	2
"lcl|CP015149.1_prot_AOF54551.1_3"	"to_be_predicted"	71	0	0	0	0	0.64093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lcl|CP015149.1_prot_AOF54552.1_4"	"to_be_predicted"	61	0.6	1	20.92605	20.92605	0.64804	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
"lcl|CP015149.1_prot_AOF54553.1_5"	"to_be_predicted"	52	0	1	21.68091	21.68091	0.52037	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lcl|CP015149.1_prot_AOF54554.1_6"	"to_be_predicted"	60	0	0	0	0	0.12721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lcl|CP015149.1_prot_AOF54555.1_7"	"to_be_predicted"	124	0	0	0	0	0.35447	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1
"lcl|CP015149.1_prot_AOF54556.1_8"	"to_be_predicted"	262	0	6	126.31955	22.8314	0.99899	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0
"lcl|CP015149.1_prot_AOF54557.1_9"	"to_be_predicted"	245	0	6	137.81331	25.65209	0.68094	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"lcl|CP015149.1_prot_AOF54558.1_10"	"to_be_predicted"	438	0	0	2.7463	0.95609	0.12085	0	0	0	4	2	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1
"lcl|CP015149.1_prot_AOF54559.1_11"	"to_be_predicted"	398	0	0	0.1284	0.01286	0.0118	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	1	0	1	3	0	1	3	0	1
"lcl|CP015149.1_prot_AOF54560.1_12"	"to_be_predicted"	415	0	0	0.45864	0.00025	0.01898	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	2
